"original_id","company_name","site_working","url","country_name","country_code","map_coordinates"
1," San Luis & Delta-Mendota Water Authority","B.F. Sisk Dam calafornia","https://www.enr.com/articles/57473-californias-bf-sisk-dams-1b-expansion-sets-off","USA",1,""
2,"","sant diago county","https://www.kpbs.org/news/quality-of-life/2023/10/20/san-diego-county-to-receive-millions-in-funding-for-road-infrastructure","USA",1,""
3," Sites Project Authority","sacremento dum","https://www.kpbs.org/news/quality-of-life/2023/10/20/san-diego-county-to-receive-millions-in-funding-for-road-infrastructure","USA",1,""
4,"synchro&itwin","","https://www.sacsewer.com/press-release/regional-sans-monumental-wastewater-treatment-plant-expansion-project-delivered-on-schedule-and-under-budget/","USA",1,""
5,"Lina Velasco","Via Verdi Slope","https://www.ci.richmond.ca.us/viaverdiproject","USA",1,""
6,"Lina Velasco","Richmond Greenway","https://www.ci.richmond.ca.us/viaverdiproject","USA",1,""
8,"San reafael","50 Merrydale RoadSan Rafael, California 94901","https://www.cityofsanrafael.org/50-merrydale/","USA",1,""
9,"San reafael","420 & 450 4th Street and 1010 Grand Avenue","https://www.cityofsanrafael.org/4th-and-grand-apartments/","USA",1,""
10,"San reafael","52 Fremont Rd.","https://www.cityofsanrafael.org/4th-and-grand-apartments/","USA",1,""
11,"San reafael","88 Vivian Street","https://www.cityofsanrafael.org/88-vivian/","USA",1,""
12,"San reafael","703-723 Third St.; 898 Lincoln Ave.","https://www.cityofsanrafael.org/703-3rd-street-119-unit-residential/","USA",1,""
13,"","Vallejo","https://www.cityofvallejo.net/cms/One.aspx?portalId=16925451&pageId=20009823","USA",1,""
14,"	Doyle Heaton
Falcon Point Associates","240 & 250 Casa Grande Road","https://cityofpetaluma.org/makenna-casa-grande/","USA",1,""
15,"Ben Ortega MBK Rental Living","495 North McDowell Boulevard ","https://cityofpetaluma.org/planning-projects/","USA",1,""
16,"Riley Weissenborn, Project ManagerMidPen Housing Corporation","414 Petaluma Blvd. North","https://cityofpetaluma.org/planning-projects/","USA",1,"38.23947, -122.642924"
17,"Amy's Kitchen Downtown Corporate OfficeL","109 Kentucky Street","https://cityofpetaluma.org/planning-projects/","USA",1,""
18,"Jeff Luchetti","245 Howard Street","https://cityofpetaluma.org/ramsey-luchetti-residence/","USA",1,""
19,"petaluma","1 C Street","https://cityofpetaluma.org/planning-projects/","USA",1,""
20,"	Riverfront, LLC Frank Marinello","500 Hopper Street","https://cityofpetaluma.org/riverfront-2010/","USA",1,"38.233708, -122.624872"
21,"Amy's Kitchen Downtown Corporate OfficeL","Terminus of Graylawn Avenue","https://cityofpetaluma.org/sid-commons/","USA",1,"38.233708, -122.624872"
22,"Rich Wallach","1601 Petaluma Blvd. South","https://cityofpetaluma.org/burbank-affordable-housing-project/","USA",1,"38.228433, -122.617331"
23,"Lauren Fuhrey303 Vintage Park Drive","817 - 825 East Washington","https://cityofpetaluma.org/midpen-affordable-housing-project-817-825-east-washington//","USA",1,"37.108533, -113.496095"
24,"	Scott Zengel6 Requa Place","	100 East D Street, Petaluma CA 94952","https://cityofpetaluma.org/oyster-cove/","USA",1,"38.234306, -122.640043"
